"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races"
"1400000US11001009400","Census Tract 94, District of Columbia, District of Columbia","4806","500","787","189","3680","470","35","52","99","71","0","12","68","67","137","89","8","13","129","87"
"1400000US11001009501","Census Tract 95.01, District of Columbia, District of Columbia","7277","644","2082","334","3354","549","11","17","246","105","5","11","1204","527","375","312","13","23","362","312"
"1400000US11001009906","Census Tract 99.06, District of Columbia, District of Columbia","1630","202","20","21","1571","206","0","12","8","11","0","12","6","9","25","20","0","12","25","20"
"1400000US11001009907","Census Tract 99.07, District of Columbia, District of Columbia","2955","262","15","19","2916","265","0","12","0","12","0","12","0","12","24","29","0","12","24","29"
"1400000US11001004902","Census Tract 49.02, District of Columbia, District of Columbia","3256","410","1576","242","777","258","63","68","328","135","0","12","308","277","204","134","137","126","67","47"
"1400000US11001009509","Census Tract 95.09, District of Columbia, District of Columbia","3246","374","292","144","2538","382","0","12","0","12","0","12","319","137","97","84","14","24","83","82"
"1400000US11001009803","Census Tract 98.03, District of Columbia, District of Columbia","3071","444","0","12","3052","441","8","13","0","12","0","12","0","12","11","17","0","12","11","17"
"1400000US11001000300","Census Tract 3, District of Columbia, District of Columbia","6334","530","5300","407","462","381","0","17","470","212","0","17","0","17","102","64","22","27","80","62"
"1400000US11001000702","Census Tract 7.02, District of Columbia, District of Columbia","3355","380","2561","402","218","122","25","41","312","138","0","12","103","60","136","82","20","32","116","74"
"1400000US11001001500","Census Tract 15, District of Columbia, District of Columbia","6186","314","5569","345","358","130","0","17","78","57","0","17","0","17","181","188","0","17","181","188"
"1400000US11001001804","Census Tract 18.04, District of Columbia, District of Columbia","5879","560","618","364","3912","513","0","17","55","71","0","17","1264","608","30","40","0","17","30","40"
"1400000US11001002301","Census Tract 23.01, District of Columbia, District of Columbia","3599","426","1047","158","1919","266","0","12","70","56","0","12","442","305","121","112","9","13","112","112"
"1400000US11001002501","Census Tract 25.01, District of Columbia, District of Columbia","3289","370","845","237","1494","224","0","12","50","49","0","12","778","308","122","89","38","48","84","64"
"1400000US11001003500","Census Tract 35, District of Columbia, District of Columbia","5173","475","1158","196","3426","465","37","42","206","91","0","17","233","225","113","59","8","18","105","56"
