id,Geographic Area Name,Estimate!!VALUE!!Owner-occupied units!!Median (dollars),Margin of Error!!VALUE!!Owner-occupied units!!Median (dollars)
1400000US17031230800,"Census Tract 2308, Cook County, Illinois",206000,28620
1400000US17031230900,"Census Tract 2309, Cook County, Illinois",239800,17333
1400000US17031231100,"Census Tract 2311, Cook County, Illinois",166200,11212
1400000US17031231200,"Census Tract 2312, Cook County, Illinois",165500,11037
1400000US17031231500,"Census Tract 2315, Cook County, Illinois",182300,27791
1400000US17031240200,"Census Tract 2402, Cook County, Illinois",685300,134890
1400000US17031240300,"Census Tract 2403, Cook County, Illinois",693900,148749
1400000US17031240500,"Census Tract 2405, Cook County, Illinois",396300,29602
1400000US17031240600,"Census Tract 2406, Cook County, Illinois",457900,84738
1400000US17031240700,"Census Tract 2407, Cook County, Illinois",368000,53174
1400000US17031240800,"Census Tract 2408, Cook County, Illinois",428000,54236
1400000US17031240900,"Census Tract 2409, Cook County, Illinois",355700,27653
1400000US17031241000,"Census Tract 2410, Cook County, Illinois",300000,66682
1400000US17031241100,"Census Tract 2411, Cook County, Illinois",370700,39220
1400000US17031241200,"Census Tract 2412, Cook County, Illinois",513100,89246
1400000US17031241300,"Census Tract 2413, Cook County, Illinois",605600,52855
1400000US17031241400,"Census Tract 2414, Cook County, Illinois",559400,101767
1400000US17031241500,"Census Tract 2415, Cook County, Illinois",532900,85963
1400000US17031241600,"Census Tract 2416, Cook County, Illinois",462600,37045
1400000US17031242000,"Census Tract 2420, Cook County, Illinois",450000,31752
1400000US17031242100,"Census Tract 2421, Cook County, Illinois",546600,37507
1400000US17031242200,"Census Tract 2422, Cook County, Illinois",565400,48785
1400000US17031242300,"Census Tract 2423, Cook County, Illinois",486200,77749
1400000US17031242400,"Census Tract 2424, Cook County, Illinois",403400,81184
1400000US17031242500,"Census Tract 2425, Cook County, Illinois",404500,41413
1400000US17031242600,"Census Tract 2426, Cook County, Illinois",399100,62483
1400000US17031242700,"Census Tract 2427, Cook County, Illinois",373200,86240
1400000US17031242800,"Census Tract 2428, Cook County, Illinois",446900,44157
1400000US17031242900,"Census Tract 2429, Cook County, Illinois",415600,57492
1400000US17031243000,"Census Tract 2430, Cook County, Illinois",397200,52069
1400000US17031243100,"Census Tract 2431, Cook County, Illinois",501000,90183
1400000US17031243200,"Census Tract 2432, Cook County, Illinois",591700,59197
1400000US17031243300,"Census Tract 2433, Cook County, Illinois",403300,42151
1400000US17031243400,"Census Tract 2434, Cook County, Illinois",367200,37094
1400000US17031243500,"Census Tract 2435, Cook County, Illinois",425200,22413
1400000US17031250200,"Census Tract 2502, Cook County, Illinois",189100,20456
1400000US17031250300,"Census Tract 2503, Cook County, Illinois",197100,20901
1400000US17031250400,"Census Tract 2504, Cook County, Illinois",182000,28881
1400000US17031250500,"Census Tract 2505, Cook County, Illinois",280600,15458
1400000US17031250600,"Census Tract 2506, Cook County, Illinois",194200,17523
1400000US17031250700,"Census Tract 2507, Cook County, Illinois",172500,28000
1400000US17031250800,"Census Tract 2508, Cook County, Illinois",165900,11544
1400000US17031251000,"Census Tract 2510, Cook County, Illinois",148700,19528
1400000US17031251100,"Census Tract 2511, Cook County, Illinois",124300,37998
1400000US17031251200,"Census Tract 2512, Cook County, Illinois",124800,46593
1400000US17031251300,"Census Tract 2513, Cook County, Illinois",147800,13220
1400000US17031251400,"Census Tract 2514, Cook County, Illinois",236000,67792
1400000US17031251500,"Census Tract 2515, Cook County, Illinois",167700,50099
1400000US17031251600,"Census Tract 2516, Cook County, Illinois",143400,43296
1400000US17031251700,"Census Tract 2517, Cook County, Illinois",134900,24627
1400000US17031251800,"Census Tract 2518, Cook County, Illinois",150000,26931
1400000US17031251900,"Census Tract 2519, Cook County, Illinois",125000,58704
1400000US17031252000,"Census Tract 2520, Cook County, Illinois",195400,42675
1400000US17031252101,"Census Tract 2521.01, Cook County, Illinois",162500,18290
1400000US17031252102,"Census Tract 2521.02, Cook County, Illinois",133100,49636
1400000US17031252201,"Census Tract 2522.01, Cook County, Illinois",101700,25230
1400000US17031252202,"Census Tract 2522.02, Cook County, Illinois",126700,46725
1400000US17031260100,"Census Tract 2601, Cook County, Illinois",125000,114495
1400000US17031260200,"Census Tract 2602, Cook County, Illinois",116400,33955
1400000US17031260300,"Census Tract 2603, Cook County, Illinois",98200,88424
1400000US17031260400,"Census Tract 2604, Cook County, Illinois",175500,174783
1400000US17031260500,"Census Tract 2605, Cook County, Illinois",159500,45073
1400000US17031260600,"Census Tract 2606, Cook County, Illinois",135700,41469
1400000US17031260700,"Census Tract 2607, Cook County, Illinois",181300,92561
1400000US17031260800,"Census Tract 2608, Cook County, Illinois",183200,62575
1400000US17031260900,"Census Tract 2609, Cook County, Illinois",131300,75654
1400000US17031261000,"Census Tract 2610, Cook County, Illinois",136800,41729
1400000US17031270500,"Census Tract 2705, Cook County, Illinois",-,**
1400000US17031271200,"Census Tract 2712, Cook County, Illinois",125000,47048
1400000US17031271300,"Census Tract 2713, Cook County, Illinois",196300,129340
1400000US17031271400,"Census Tract 2714, Cook County, Illinois",183800,58758
1400000US17031271500,"Census Tract 2715, Cook County, Illinois",185800,16680
1400000US17031271800,"Census Tract 2718, Cook County, Illinois",170000,35082
1400000US17031280100,"Census Tract 2801, Cook County, Illinois",406900,38623
1400000US17031280400,"Census Tract 2804, Cook County, Illinois",408700,173223
1400000US17031280800,"Census Tract 2808, Cook County, Illinois",286200,27470
1400000US17031280900,"Census Tract 2809, Cook County, Illinois",230600,38270
1400000US17031281900,"Census Tract 2819, Cook County, Illinois",336100,24278
1400000US17031282700,"Census Tract 2827, Cook County, Illinois",211700,15947
1400000US17031282800,"Census Tract 2828, Cook County, Illinois",225900,66423
1400000US17031283100,"Census Tract 2831, Cook County, Illinois",444200,80379
1400000US17031283200,"Census Tract 2832, Cook County, Illinois",381800,40228
1400000US17031283800,"Census Tract 2838, Cook County, Illinois",285400,15179
1400000US17031290900,"Census Tract 2909, Cook County, Illinois",158200,51910
1400000US17031291200,"Census Tract 2912, Cook County, Illinois",158800,26891
