GEO_ID,NAME,S1501_C02_015E,DP03_0009PE,S1701_C03_001E
id,Geographic Area Name,talent index,Unemployment,poverty
1400000US17031063302,"Census Tract 633.02, Cook County, Illinois",87.3,0.3,7.3
1400000US17031063303,"Census Tract 633.03, Cook County, Illinois",72.1,4.9,5.9
1400000US17031063400,"Census Tract 634, Cook County, Illinois",86.8,1.2,5.7
1400000US17031070101,"Census Tract 701.01, Cook County, Illinois",84,5.8,15.9
1400000US17031070102,"Census Tract 701.02, Cook County, Illinois",81.5,1.2,6.6
1400000US17031070103,"Census Tract 701.03, Cook County, Illinois",80.9,2.9,10.1
1400000US17031070200,"Census Tract 702, Cook County, Illinois",81.4,2.6,9.6
1400000US17031070300,"Census Tract 703, Cook County, Illinois",91.4,2.7,7.7
1400000US17031070400,"Census Tract 704, Cook County, Illinois",74.1,0,10.2
1400000US17031070500,"Census Tract 705, Cook County, Illinois",75.2,4.1,4.7
1400000US17031070600,"Census Tract 706, Cook County, Illinois",92.9,2.5,4.7
1400000US17031070700,"Census Tract 707, Cook County, Illinois",77.5,2.5,16.7
1400000US17031071000,"Census Tract 710, Cook County, Illinois",91,6.5,9.5
1400000US17031071100,"Census Tract 711, Cook County, Illinois",92.9,2.8,10.1
1400000US17031071200,"Census Tract 712, Cook County, Illinois",80.2,2,8.9
1400000US17031071300,"Census Tract 713, Cook County, Illinois",94.6,3.2,8.8
1400000US17031071400,"Census Tract 714, Cook County, Illinois",81.5,2.7,16.4
1400000US17031071500,"Census Tract 715, Cook County, Illinois",89.6,1.6,4.7
1400000US17031071600,"Census Tract 716, Cook County, Illinois",78.8,3,8.8
1400000US17031071700,"Census Tract 717, Cook County, Illinois",80.3,2.8,2.4
1400000US17031071800,"Census Tract 718, Cook County, Illinois",82.9,0.6,4.6
1400000US17031080100,"Census Tract 801, Cook County, Illinois",83.6,5.2,8.1
